tanggal,saham,harga_prediksi,before_close
2025-08-08,ASII.JK,4944.2,
2025-08-08,BBCA.JK,8294.5,
2025-08-08,BBNI.JK,4147.9,
2025-08-08,BBRI.JK,3790.7,
2025-08-08,BMRI.JK,4598.55,
2025-08-08,ICBP.JK,9977.25,
2025-08-08,PTBA.JK,2388.8,
2025-08-08,TLKM.JK,2973.6,
2025-08-08,TOWR.JK,607.65,
2025-08-08,ADRO.JK,1803.0,
2025-08-11,ADRO.JK,1799.45,
2025-08-11,BBCA.JK,8344.5,
2025-08-11,BMRI.JK,4598.55,
2025-08-11,PTBA.JK,2395.1,
2025-08-11,TLKM.JK,2959.2,
2025-08-11,ICBP.JK,10059.25,
2025-08-11,TOWR.JK,616.4,
2025-08-11,BBNI.JK,4143.4,
2025-08-11,ASII.JK,4993.4,
2025-08-11,BBRI.JK,3712.6,False
2025-08-12,ADRO.JK,1816.0,False
2025-08-12,BBCA.JK,8196.0,False
2025-08-12,ASII.JK,4908.15,False
2025-08-12,BBNI.JK,4215.8,False
2025-08-12,TLKM.JK,2977.5,False
2025-08-12,TOWR.JK,643.4,False
2025-08-12,ICBP.JK,10079.75,False
2025-08-12,BMRI.JK,4992.1,False
2025-08-12,BBRI.JK,3736.7,False
2025-08-12,PTBA.JK,2391.0,False
2025-08-13,ADRO.JK,1872.45,False
2025-08-13,ASII.JK,5024.85,False
2025-08-13,BBCA.JK,8876.5,False
2025-08-13,BBNI.JK,4464.95,False
2025-08-13,BBRI.JK,3846.2,False
2025-08-13,BMRI.JK,4915.95,False
2025-08-13,ICBP.JK,10057.25,False
2025-08-13,PTBA.JK,2438.4,False
2025-08-13,TLKM.JK,3145.4,False
2025-08-13,TOWR.JK,636.5,False
2025-08-14,PTBA.JK,2462.3,False
2025-08-14,ADRO.JK,1817.5,False
2025-08-14,ASII.JK,5177.25,False
2025-08-14,BBCA.JK,9008.0,False
2025-08-14,BBNI.JK,4438.4,False
2025-08-14,BBRI.JK,3945.6,False
2025-08-14,BMRI.JK,4852.4,False
2025-08-14,ICBP.JK,10088.5,False
2025-08-14,TLKM.JK,3245.4,False
2025-08-14,TOWR.JK,645.9,False
